id,title
"2","Abdominal swelling"
"3","Abdominal trauma"
"4","Abrasions (scrapes)"
"5","ACE inhibitor induced coughblood pressure medication side effectDrug-induced coughDrug reaction: ACE inhibitor"
"6","acetaminophen overdoseAdverse reaction to acetaminophen"
"7","Tylenol acetaminophen poisoning"
"9","Achilles tendon rupture(heel tendon tear)"
"10","Acid LSD abuse"
"15","Acute fatty liver of pregnancy"
"16","Adenoiditis(a type of lymph node inflammation)"
"22","Alcohol ethanol poisoning (overdose)"
"24","Alcoholic ketoacidosisAlcohol induced ketoacidosis (complication of heavy alcohol use)"
"26","Allergic reaction"
"28","Allergy"
"31","Altitude illnessIllnesses due to high altitude effects"
"33","Amphetamine abuse"
"34","Amphetamine overdose"
"37","Anaphylactoid reactions (pseudo allergic reaction)"
"38","Anaphylaxis(severe/life threatening allergic reaction)"
"40","Ankle laceration (cut in skin)"
"41","Ankle swelling"
"43","Anophelesmosquito bite"
"47","Ant bite"
"48","Anticholinergic drug overdose"
"49","Antidepressant overdose"
"52","Aortic valve stenosistight heart valve"
"57","Arm lacerationskin cut"
"58","Arm swelling"
"60","Arteriovenous malformationblood vessel abnormality, AVM"
"61","Arthritisjoint inflammation"
"64","Aspirinsalicylates overdose"
"66","Atopic dermatitiseczema"
"70","Autoimmune conditions"
"71","Autoimmune disease"
"72","Avulsionsforcible tissue detachment"
"74","Bacterial dysenterybacterial infection of the intestines"
"77","Bacterial vaginosisvaginal infection"
"79","Balanitispenis swelling"
"81","Bartholin abscess or cystsac of pus near the vaginal opening"
"84","Beta blocker overdoseblood pressure medication overdose"
"86","Bee stingwasp sting"
"89","Benign prostatic hyperplasiaprostate enlargement"
"90","BenzodiazepineValium abuse"
"91","BenzodiazepineValium overdose"
"92","BenzodiazepineValium toxicity"
"94","Black widow spider bite"
"109","Breast cancertumor"
"111","Breast fibroadenomabenign breast lumps"
"114","Bronchiolitisbronchial tube inflammation"
"116","Brown recluse spider bite"
"119","Burning mouth syndrome"
"121","Bursitisinflammation of joint cushion"
"122","Caffeine use"
"123","Calcium channel blocker overdoseblood pressure medication overdose"
"124","Calluses and corns"
"128","Carbon monoxide poisoningodorless, poisonous gas"
"132","Carotid cavernous fistulaabnormal blood vessel communication"
"135","Cavernous sinus aneurysmhead vein dilation"
"137","Cavernous sinus tumorhead vein cancer"
"140","Cellulitisskin infection"
"142","Cerebellar hemorrhagebleeding in back of brain"
"144","Cerebral contusionbruise of brain"
"146","Cerebral vascular accidentstroke"
"150","Cervical lymphadenopathyenlarged neck lymph nodes"
"151","Cervical radiculopathypinched nerve in neck"
"152","Cervical spine fracturebroken neck bone"
"159","Child abuse"
"161","Chlorine bleach ingestion"
"164","Choledocholithiasisstone in bile duct"
"168","Chronic fatigue syndromeCFS"
"172","Cirrhosisliver failure and scarring"
"173","Cluster headacheone-sided headache behind the eye"
"176","Cocaine overdose"
"179","Colonic diverticulitisinflammation of pouches in the large intestine"
"182","Common spider bitespider bite"
"183","Compartment syndromeincreased pressure inside muscles"
"188","Contact dermatitiscontact skin irritation"
"189","Poison ivypoison oak, poison sumac"
"192","Corneal abrasionscrape on eye"
"194","Coronary artery dissectionheart artery tear"
"196","Cough medicine abuse"
"197","Crohn's diseaseregional enteritis, Crohn's colitis, intestinal inflammation"
"198","Cryptosporidium infectiondiarrheal parasite infectionInfection by CryptosporidiumCryptosporidiosis infectionInfection by Cryptosporidium parvum"
"201","Cystocelebladder hernia"
"204","Deep venous thrombosisDVT, venous blood clot"
"210","Dental eruptionappearance of new tooth"
"211","Dentures"
"213","Diabeteshigh blood sugar"
"214","Diabetes mellitus type 2elevated blood sugar"
"217","Benadryldiphenhydramine overdose"
"218","Diphtheria infectionbacterial respiratory infection"
